Leading 1,Leading 2,Prompt,Response 1,Response 2,Response 3,"Results (R1, R2, R3, Ignore) (I - Ignore, D - Despair, F - False Optimism, G - Good)"
,,เป็นไงบ้างช่วงนี้? <5.0>,ลำบากอยู่พอตัว,ก็ใช้ได้,ไม่ค่อยดีเท่าไหร่,"-, -, -, I1"
จำคิมได้ไหม? ตอนนี้เป็นนักวาดดังไปแล้ว <0.25>,เมื่อก่อนไม่มีใครชอบที่ฉันวาดรูปเลย <0.50>,ฉันต่างจากเขาตรงไหนกัน? <5.0>,แต่ตอนนี้ก็ \n ไม่ใช่แบบนั้นแล้วนะ,สู้ๆ!,มันอาจจะไม่เหมาะกับนายก็ได้,"G1, F2, D2, I1"
ที่ฉันพยายามมาทั้งหมดนี่ <0.25>,,เพื่ออะไรกัน? <5.0>,นั่นสิ เพื่ออะไรกันนะ,อย่างน้อยก็ได้ลองนะ,ก็ลองพยายามมากกว่านี้สิ,"D2, G2, F1,I1"
หางานไม่ได้อีกแล้ว <0.25>,,จะดันทุรังไปทำไมนะ? <5.0>,บ่นไปไม่ช่วยอะไรหรอกน่า,ลองพักสักหน่อยไหม?,ทำไมถึงไม่ได้ล่ะ?,"D1, G2, F1, I2"
"""ฉันอยากเติบโตไปอย่างภาคภูมิใจ"" <0.5>",ตอนเด็กๆ ฉันคงจะพูดอย่างงั้น <0.50>,น่าขำดี ใช่ไหมล่ะ? <5.0>,ตัดพ้อไปก็ไม่ช่วยอะไรหรอกนะ,ก็ไม่นะ,กำลังจะขำเลย,"F2, G1, D2, I3"
,,นายคิดว่าชีวิตมันไม่แฟร์หรือเปล่า? <5.0>,จริง มีเรื่องอะไร \n อยากเล่ารึเปล่า?,ลำบากก็ต้องทน,ใครจะรู้?,"G2, F2, I1, I2"
,,ถ้าฉันหายไปก็ไม่มีใครแคร์หรอก ใช่ไหม? <5.0>,ก็ยังมีเพื่อนที่แคร์นายนะ,แต่ฉันแคร์นะ,,"F1, G1, -, I1"
ทุกอย่างมันไร้ความหมาย <0.25>,ฉันพยายามแล้ว <0.25>,แต่มันไม่มีประโยชน์เลย <5.0>,อืม ทุกอย่างมันไม่มีค่านั่นแหล่ะ,แต่บางอย่างที่ทำก็มีค่านะ,*ฟังต่อ*,"D2, F2, G1, I1"
,,ฉันรู้สึกหดหู่อยู่ตลอดเลย <5.0>,แต่มันมีคนที่แย่กว่านายอยู่อีกนะ,งั้นพรุ่งนี้ออกไปเที่ยวกันไหม?,,"F2, G2, -, I2"
ฉันรู้สึกเหมือนเป็นคนหลงทาง <0.5>,เหมือนอยู่ในอุโมงค์ <0.25>,ที่ไม่มีแม้แต่แสงที่ปลายทางด้วยซ้ำ <5.0>,แล้วคิดจะออกมายังไงหรอ?,อยู่กับปัจจุบันหน่อยสิ,ค่อยๆเป็นค่อยๆไป ไม่ต้องรีบหรอก,"D1, F2, G1, I1"
