Leading 1,Leading 2,Prompt,Response 1,Response 2,Response 3,"Results (R1, R2, R3, Ignore) (I - Ignore, D - Despair, F - False Optimism, G - Good)"
คิดว่ามะเขือเทศ... <0.25>,,เป็นผักหรือผลไม้? <5.0>,ห๊ะ?,ผัก,ผลไม้,"-, -, -, -"
ดูเนื้อพวกนี้สิ <0.25>,อยากรู้... <0.50>,ว่าเคยอยากเป็นวีแกนไหม? <5.0>,ก็ไม่นะ,ก็เคยเป็น,อืมม...,"-, -, -, -"
คิดว่าจะซื้อเคสโทรศัพท์ใหม่ <0.25>,,สีไหนดี? <5.0>,ชมพูพาสเทล,เทา,ทองอร่าม,"-, -, -, -"
คำนี้คนเขียนผิดบ่อย <0.25>,,"ผัด ""กระเพรา"" เขียนยังไง? <5.0>",กระเพรา,กะเพรา,กละเภรา,"-, -, -, -"
,,ปกติกินไอติมยังไง? <5.0>,เลีย,กัด,กินจากโคนขี้นมา,"-, -, -, -"
,,ช่วงนี้อากาศไม่ค่อยดีเลย ว่ามะ? <5.0>,ฝนตกบ้างก็ดีนะ,จริง อยากเห็นแสงแดดบ้าง,หวังว่าพายุจะไม่เข้านะ,"-, -, -, -"
,,ได้ดูข่าวไหมช่วงนี้? <5.0>,ไม่อะ มีแต่ข่าวไร้สาระ,ดูอยู่บ้างๆ,,"-, -, -, -"
,,มีถั่วไหม? <5.0>,ไม่มี,มี,มี แต่ 20 บาท,"-, -, -, -"
,,จับตะเกียบแปลกดีนะ <5.0>,แล้วไง?,ถือว่าชมแล้วกันนะ,มีแปลกกว่านี้อีก,"-, -, -, -"
ไหนๆ ก็มาแล้ว... <0.25>,,ไม่กินผักหน่อยหรอ? <5.0>,ไม่คุ้ม เนื้อแพงกว่า,ไม่คิดว่านายกินผักด้วย,ไม่อร่อยหรอก เชื่อฉัน,"-, -, -, -"
มีคำถาม... <0.25>,,พระอภัยมณีเป่าปี่หรือเป่าขลุ่ย? <5.0>,ปี่,ปลุ่ย,ฮั่นแน่ นั่นมันสุนทร... เอ๊ะ...,"-, -, -, -"
,,เค็มหรือหวาน? <5.0>,ถามทำไมครับเนี่ยยยย!?,หวาน,เค็ม,"-, -, -, -"
,,ได้เล่นเกมอะไรไหมช่วงนี้? <5.0>,ไม่เคยได้เล่น,ช่วงนี้มีแต่กาชา,เกมเดิมตั้งแต่มหาลัยแหละ,"-, -, -, -"
เคยคิดว่าเราอยู่ในเกมไหม? <0.25>,,เหมือนใน Matrix ไรงี้? <5.0>,ก็เป็นไปได้,เบียวละ,แน่นอน,"-, -, -, -"
,,คิดว่านกมีจริงไหม? <5.0>,เดินมานี่ไม่เห็นซักตัวเลยเหรอ?,ไม่ นกเป็นโดรนสอดแนมจากรัฐบาล,ต้องการจะสื่ออะไรเนี่ย?,"-, -, -, -"
เคยอยากเล่นกีฬา extreme ไหม? <0.25>,,แบบบันจี้จั๊มหรือโดดร่มไรงี้? <5.0>,ไม่กล้า,ก็อยากอยู่,ถ้ามีเพื่อนไปก็โอเค,"-, -, -, -"
