Leading 1,Leading 2,Prompt,Response 1,Response 2,Response 3,"Results (R1, R2, R3, Ignore) (I - Ignore, D - Despair, F - False Optimism, G - Good)"
,,เป็นไงบ้างช่วงนี้? <5.0>,ลำบากอยู่พอตัว,ก็ใช้ได้,ไม่ค่อยดีเท่าไหร่,"-, -, -, I1"
จำคิมได้ไหม? ตอนนี้เป็นนักวาดดังไปแล้ว <0.25>,สมัยก่อนมีแต่คนติเตียนงานฉัน <0.50>,ทำไมเขาได้ดีกว่าฉันกันนะ? <5.0>,โลกนี้มันไม่ยุติธรรมอยู่แล้ว,สู้ๆ!,มันอาจจะไม่เหมาะกับนายตั้งแต่แรก,"G1, F2, D1, I1"
ที่ฉันพยายามมาทั้งหมดนี่ <0.25>,,เพื่ออะไรกัน? <5.0>,เพื่อความสิ้นหวัง,อย่างน้อยก็ได้ลองละกัน,ทำดีแล้ว ทำต่อไป!,"D2, G2, F1,I1"
หางานไม่ได้อีกแล้ว <0.25>,,จะดันทุรังไปทำไมนะ? <5.0>,บ่นไปไม่ช่วยอะไรหรอกน่า,ไม่ลองพักดูหน่อยเหรอ,ห๊ะ?,"F1, G2, I1, I2"
"""ฉันอยากเติบโตไปอย่างภาคภูมิใจ"" <0.5>",ตอนเด็กๆ ฉันคงจะพูดอย่างงั้น <0.50>,น่าขำดี ใช่ไหมล่ะ? <5.0>,หยุดตัดพ้อได้แล้ว!,เข้าใจๆ,กำลังจะขำเลย,"F2, D1, G1, I3"
,,คิดว่าชีวิตมันไม่แฟร์หรือเปล่า? <5.0>,ใช่มะ อยากคุยเรื่องนี้เหมือนกัน,ลำบากก็ต้องทน,ใครจะรู้?,"G2, F2, I1, I2"
,,ถ้าฉันหายไปก็ไม่มีใครแคร์หรอก ใช่ไหม? <5.0>,เดี๋ยวเพื่อนเป็นห่วงนะ,แต่ฉันแคร์นะ,,"F2, G1, -, I1"
ทุกอย่างมันรู้สึกอ้างว้าง <0.25>,ฉันพยายามแล้ว <0.25>,แต่ก็คว้าน้ำเหลว <5.0>,ใครก็รู้ว่ามันไร้ประโยชน์,กำขี้ดีกว่ากำตดนะ,,"D2, F2, -, G1"
,,ฉันรู้สึกหดหู่อยู่ตลอดเลย <5.0>,เดี๋ยวก็ดีขึ้น ใช่ไหม?,พรุ่งนี้ออกไปเที่ยวกันไหม?,,"F2, G2, -, I2"
รู้สึกหลงทางมากเลย <0.5>,เหมือนอยู่ในอุโมงค์ <0.25>,ที่ไม่มีแม้แต่แสงปลายอุโมงค์ <5.0>,แล้วจะหลงต่อไปแบบนี้เหรอ?,อยู่กับปัจจุบันดีกว่านะ,ใช้เวลาไปพักฟื้นจิตใจก็ดีนะ,"-, F2, G1, I1"
นายเคยคิดถึงอดีตบ้างหรือเปล่า? <0.25>,คิดถึงวันวาน <0.25>,แล้วกลับมามองตัวเองในปัจจุบันแล้วผิดหวัง <5.0>,ชีวิตก็คือการดิ่งลงเหว,ก็ไม่ขนาดนั้นนะ,ตอนเด็กๆ สบายกว่านี้เยอะเลย ว่าไหม?,"D2, -, G1, I2"
,,ฉันอยากตาย <5.0>,เล่ามาได้นะ ฉันพร้อมฟัง,เดี๋ยวก็ดีขึ้นน่า,เหมือนกันเลย,"G1, F2, D3, I2"
"""เดี๋ยวก็ดีขึ้น"" <0.25>","""เดี๋ยวก็ผ่านมันไปได้"" <0.25>",เหอะ... มีแต่คำพูดกลวงๆ <5.0>,แต่ก็จริงไม่ใช่เหรอ สู้ต่อไป,เขาก็พูดไปงั้นๆ แหละ,เห็นด้วย,"F2, D1, -, G2"
นานจนฉันลืมไปแล้ว <0.25>,,แต่จำตอนที่ฉันยิ้มครั้งล่าสุดได้ไหม? <5.0>,งานเทศกาลรอบก่อนนายร่าเริงมากเลยนะ,ถ้าจำไม่ได้ ก็ยิ้มตอนนี้เลย!,ฉันยังจำของตัวเองไม่ได้เลย,"G1, F1, D2, I1"
คิดว่าเป็นไปได้ไหม? <0.25>,,ที่ความฝันในวัยเด็กจะกลับมาเป็นจริง <5.0>,ปล่อยมันไปเถอะ,ไม่ลองไม่รู้!,คงได้แต่ฝันลมๆ แล้งๆ แหละ,"D1, F2, G1, I1"
